08-07-2026 21:12:42 RAM 2043/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,39%@1728,38%@1728,41%@1728,37%@1728,40%@1728] GR3D_FREQ 0% cpu@53.375C soc2@52.187C soc0@51.937C gpu@52.75C tj@54.281C soc1@54.281C VDD_IN 8160mW/8158mW VDD_CPU_GPU_CV 1391mW/1398mW VDD_SOC 2980mW/2978mW
08-07-2026 21:12:47 RAM 2042/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,40%@729,40%@729,39%@729,36%@1728,38%@1728] GR3D_FREQ 0% cpu@53.593C soc2@52.218C soc0@51.968C gpu@53.125C tj@54.125C soc1@54.125C VDD_IN 8160mW/8158mW VDD_CPU_GPU_CV 1391mW/1398mW VDD_SOC 2980mW/2978mW
08-07-2026 21:12:52 RAM 2040/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,41%@729,40%@729,38%@729,39%@729,40%@729] GR3D_FREQ 0% cpu@53.531C soc2@52.406C soc0@52.093C gpu@53C tj@54.375C soc1@54.375C VDD_IN 8200mW/8160mW VDD_CPU_GPU_CV 1430mW/1400mW VDD_SOC 2980mW/2978mW
08-07-2026 21:12:57 RAM 2041/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,39%@729,40%@729,37%@729,40%@883,40%@883] GR3D_FREQ 0% cpu@53.781C soc2@52.437C soc0@52.187C gpu@53.062C tj@54.312C soc1@54.312C VDD_IN 8160mW/8160mW VDD_CPU_GPU_CV 1391mW/1399mW VDD_SOC 2980mW/2978mW
08-07-2026 21:13:02 RAM 2046/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,38%@729,41%@729,37%@729,38%@729,39%@729] GR3D_FREQ 0% cpu@53.593C soc2@52.562C soc0@52.343C gpu@53.125C tj@54.531C soc1@54.531C VDD_IN 8160mW/8160mW VDD_CPU_GPU_CV 1391mW/1399mW VDD_SOC 2980mW/2978mW
08-07-2026 21:13:07 RAM 2048/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,41%@729,40%@729,37%@729,37%@729,38%@729] GR3D_FREQ 0% cpu@53.968C soc2@52.75C soc0@52.281C gpu@53.437C tj@54.5C soc1@54.5C VDD_IN 8200mW/8162mW VDD_CPU_GPU_CV 1430mW/1400mW VDD_SOC 3020mW/2980mW
08-07-2026 21:13:12 RAM 2043/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@883,41%@883,38%@883,38%@883,40%@1728,39%@1728] GR3D_FREQ 0% cpu@53.687C soc2@52.656C soc0@52.437C gpu@53.125C tj@54.562C soc1@54.656C VDD_IN 8160mW/8162mW VDD_CPU_GPU_CV 1391mW/1400mW VDD_SOC 2980mW/2980mW
08-07-2026 21:13:17 RAM 2048/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,39%@729,40%@729,41%@729,35%@1728,39%@1728] GR3D_FREQ 0% cpu@54.031C soc2@52.75C soc0@52.343C gpu@53.593C tj@54.562C soc1@54.562C VDD_IN 8200mW/8164mW VDD_CPU_GPU_CV 1388mW/1399mW VDD_SOC 2980mW/2980mW
08-07-2026 21:13:22 RAM 2045/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,39%@729,40%@729,38%@729,39%@729,39%@729] GR3D_FREQ 0% cpu@53.843C soc2@52.843C soc0@52.468C gpu@53.343C tj@54.687C soc1@54.687C VDD_IN 8160mW/8163mW VDD_CPU_GPU_CV 1391mW/1399mW VDD_SOC 2980mW/2980mW
08-07-2026 21:13:27 RAM 2043/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,42%@1728,40%@1728,40%@1728,39%@729,39%@729] GR3D_FREQ 0% cpu@54.218C soc2@52.812C soc0@52.531C gpu@53.406C tj@54.656C soc1@54.656C VDD_IN 8200mW/8165mW VDD_CPU_GPU_CV 1391mW/1399mW VDD_SOC 2980mW/2980mW
08-07-2026 21:13:32 RAM 2051/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,37%@729,40%@729,41%@729,39%@729,39%@729] GR3D_FREQ 0% cpu@53.937C soc2@52.906C soc0@52.593C gpu@53.375C tj@54.812C soc1@54.812C VDD_IN 8120mW/8163mW VDD_CPU_GPU_CV 1388mW/1398mW VDD_SOC 2941mW/2979mW
08-07-2026 21:13:37 RAM 2046/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,40%@729,38%@729,39%@729,38%@1728,39%@1728] GR3D_FREQ 0% cpu@54.281C soc2@52.906C soc0@52.593C gpu@53.718C tj@54.718C soc1@54.718C VDD_IN 8120mW/8162mW VDD_CPU_GPU_CV 1391mW/1398mW VDD_SOC 2941mW/2977mW
08-07-2026 21:13:42 RAM 2047/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,39%@729,39%@729,37%@729,39%@729,41%@729] GR3D_FREQ 0% cpu@54.031C soc2@52.906C soc0@52.781C gpu@53.531C tj@54.906C soc1@54.906C VDD_IN 8120mW/8160mW VDD_CPU_GPU_CV 1430mW/1399mW VDD_SOC 2941mW/2976mW
08-07-2026 21:13:47 RAM 2047/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,40%@729,36%@729,36%@729,40%@729,41%@729] GR3D_FREQ 0% cpu@54.25C soc2@53.062C soc0@52.718C gpu@53.812C tj@55.093C soc1@54.875C VDD_IN 8120mW/8159mW VDD_CPU_GPU_CV 1391mW/1399mW VDD_SOC 2941mW/2975mW
08-07-2026 21:13:52 RAM 2043/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@1728,41%@1728,39%@1728,38%@1728,39%@729,40%@729] GR3D_FREQ 0% cpu@54.125C soc2@53.093C soc0@52.843C gpu@53.75C tj@55C soc1@55C VDD_IN 8160mW/8159mW VDD_CPU_GPU_CV 1430mW/1400mW VDD_SOC 2941mW/2974mW
08-07-2026 21:13:57 RAM 2053/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@1728,40%@1728,37%@1728,39%@1728,39%@729,42%@729] GR3D_FREQ 0% cpu@54.343C soc2@53.187C soc0@52.781C gpu@53.718C tj@55.187C soc1@55.187C VDD_IN 8120mW/8157mW VDD_CPU_GPU_CV 1430mW/1401mW VDD_SOC 2941mW/2972mW
08-07-2026 21:14:02 RAM 2045/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@1728,40%@1728,41%@1728,37%@1728,38%@1728,41%@1728] GR3D_FREQ 0% cpu@54.5C soc2@53.156C soc0@52.906C gpu@53.656C tj@55.031C soc1@55.031C VDD_IN 8120mW/8156mW VDD_CPU_GPU_CV 1391mW/1401mW VDD_SOC 2941mW/2972mW
08-07-2026 21:14:07 RAM 2044/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,40%@729,38%@729,39%@729,39%@729,39%@729] GR3D_FREQ 0% cpu@54.218C soc2@53.218C soc0@52.781C gpu@53.968C tj@55.125C soc1@55.125C VDD_IN 8160mW/8156mW VDD_CPU_GPU_CV 1430mW/1401mW VDD_SOC 2941mW/2971mW
08-07-2026 21:14:12 RAM 2054/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,39%@729,40%@729,39%@729,38%@729,40%@729] GR3D_FREQ 0% cpu@54.5C soc2@53.187C soc0@52.906C gpu@53.718C tj@55.062C soc1@55.062C VDD_IN 8120mW/8155mW VDD_CPU_GPU_CV 1430mW/1402mW VDD_SOC 2941mW/2970mW
08-07-2026 21:14:17 RAM 2047/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@806,41%@806,39%@806,39%@806,38%@729,39%@729] GR3D_FREQ 0% cpu@54.531C soc2@53.343C soc0@52.843C gpu@54C tj@55.375C soc1@55.375C VDD_IN 8120mW/8154mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2969mW
08-07-2026 21:14:22 RAM 2052/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,40%@1728,38%@1728,40%@1728,40%@729,40%@729] GR3D_FREQ 0% cpu@54.343C soc2@53.25C soc0@53.062C gpu@53.937C tj@55.125C soc1@55.125C VDD_IN 8120mW/8153mW VDD_CPU_GPU_CV 1388mW/1402mW VDD_SOC 2941mW/2968mW
